ID,LABEL,RULE
21,Desired Attributes,"MATCH (a0:Template)<--(b)-->(c0)
WHERE a0.VALUE='Desired Attributes' AND a0.PATH='/HTML/BODY/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/BLOCKQUOTE/P/text()' AND a0.POSITION='10' 
AND b.VALUE='P' 
AND c0.NODE_TYPE='3' AND c0.POSITION='21' 
 RETURN c0.VALUE AS VALUE, c0.URL AS URL, 'Template' in LABELS(c0) as template"
22,Desired Attributes,"MATCH (a0:Template)<--(b)-->(c0)
WHERE a0.VALUE='Desired Attributes' AND a0.PATH='/HTML/BODY/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/BLOCKQUOTE/P/text()' AND a0.POSITION='48' 
AND b.VALUE='P' 
AND c0.NODE_TYPE='3' AND c0.POSITION='49' 
 RETURN c0.VALUE AS VALUE, c0.URL AS URL, 'Template' in LABELS(c0) as template"
23,Desired Attributes,"MATCH (a0:Template)<--(b)-->(c0)
WHERE a0.VALUE='Desired Attributes' AND a0.PATH='/HTML/BODY/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/BLOCKQUOTE/P/text()' AND a0.POSITION='57' 
AND b.VALUE='P' 
AND c0.NODE_TYPE='3' AND c0.POSITION='59' 
 RETURN c0.VALUE AS VALUE, c0.URL AS URL, 'Template' in LABELS(c0) as template"
24,Profession: Computer Engineering and Information Technology - > Software Design/Development,"MATCH (a0:Template)<--(b)-->(c0)
WHERE a0.VALUE='Profession: Computer Engineering and Information Technology - > Software Design/Development' AND a0.PATH='/HTML/BODY/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/BLOCKQUOTE/P/text()' AND a0.POSITION='29' 
AND b.VALUE='P' 
AND c0.NODE_TYPE='3' AND c0.POSITION='1' 
 RETURN c0.VALUE AS VALUE, c0.URL AS URL, 'Template' in LABELS(c0) as template"
25,Desired Attributes,"MATCH (a0:Template)<--(b)-->(c0)
WHERE a0.VALUE='Desired Attributes' AND a0.PATH='/HTML/BODY/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/BLOCKQUOTE/P/text()' AND a0.POSITION='34' 
AND b.VALUE='P' 
AND c0.NODE_TYPE='3' AND c0.POSITION='12' 
 RETURN c0.VALUE AS VALUE, c0.URL AS URL, 'Template' in LABELS(c0) as template"
26,Profession: Computer Engineering and Information Technology - > Software Design/Development,"MATCH (a0:Template)<--(b)-->(c0)
WHERE a0.VALUE='Profession: Computer Engineering and Information Technology - > Software Design/Development' AND a0.PATH='/HTML/BODY/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/BLOCKQUOTE/P/text()' AND a0.POSITION='29' 
AND b.VALUE='P' 
AND c0.NODE_TYPE='3' AND c0.POSITION='38' 
 RETURN c0.VALUE AS VALUE, c0.URL AS URL, 'Template' in LABELS(c0) as template"
27,Desired Attributes,"MATCH (a0:Template)<--(b)-->(c0)
WHERE a0.VALUE='Desired Attributes' AND a0.PATH='/HTML/BODY/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/BLOCKQUOTE/P/text()' AND a0.POSITION='43' 
AND b.VALUE='P' 
AND c0.NODE_TYPE='3' AND c0.POSITION='30' 
 RETURN c0.VALUE AS VALUE, c0.URL AS URL, 'Template' in LABELS(c0) as template"
28,Desired Attributes,"MATCH (a0:Template)<--(b)-->(c0)
WHERE a0.VALUE='Desired Attributes' AND a0.PATH='/HTML/BODY/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/BLOCKQUOTE/P/text()' AND a0.POSITION='43' 
AND b.VALUE='P' 
AND c0.NODE_TYPE='3' AND c0.POSITION='42' 
 RETURN c0.VALUE AS VALUE, c0.URL AS URL, 'Template' in LABELS(c0) as template"
29,Desired Attributes,"MATCH (a0:Template)<--(b)-->(c0)
WHERE a0.VALUE='Desired Attributes' AND a0.PATH='/HTML/BODY/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/BLOCKQUOTE/P/text()' AND a0.POSITION='30' 
AND b.VALUE='P' 
AND c0.NODE_TYPE='3' AND c0.POSITION='44' 
 RETURN c0.VALUE AS VALUE, c0.URL AS URL, 'Template' in LABELS(c0) as template"
30,Profession: Computer Engineering and Information Technology - > Software Design/Development,"MATCH (a0:Template)<--(b)-->(c0)
WHERE a0.VALUE='Profession: Computer Engineering and Information Technology - > Software Design/Development' AND a0.PATH='/HTML/BODY/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/BLOCKQUOTE/P/text()' AND a0.POSITION='19' 
AND b.VALUE='P' 
AND c0.NODE_TYPE='3' AND c0.POSITION='10' 
 RETURN c0.VALUE AS VALUE, c0.URL AS URL, 'Template' in LABELS(c0) as template"
31,Desired Attributes,"MATCH (a0:Template)<--(b)-->(c0)
WHERE a0.VALUE='Desired Attributes' AND a0.PATH='/HTML/BODY/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/BLOCKQUOTE/P/text()' AND a0.POSITION='48' 
AND b.VALUE='P' 
AND c0.NODE_TYPE='3' AND c0.POSITION='19' 
 RETURN c0.VALUE AS VALUE, c0.URL AS URL, 'Template' in LABELS(c0) as template"
32,Profession: Computer Engineering and Information Technology - > Software Design/Development,"MATCH (a0:Template)<--(b)-->(c0)
WHERE a0.VALUE='Profession: Computer Engineering and Information Technology - > Software Design/Development' AND a0.PATH='/HTML/BODY/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/BLOCKQUOTE/P/text()' AND a0.POSITION='30' 
AND b.VALUE='P' 
AND c0.NODE_TYPE='3' AND c0.POSITION='12' 
 RETURN c0.VALUE AS VALUE, c0.URL AS URL, 'Template' in LABELS(c0) as template"
33,Profession: Computer Engineering and Information Technology - > Software Design/Development,"MATCH (a0:Template)<--(b)-->(c0)
WHERE a0.VALUE='Profession: Computer Engineering and Information Technology - > Software Design/Development' AND a0.PATH='/HTML/BODY/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/BLOCKQUOTE/P/text()' AND a0.POSITION='37' 
AND b.VALUE='P' 
AND c0.NODE_TYPE='3' AND c0.POSITION='46' 
 RETURN c0.VALUE AS VALUE, c0.URL AS URL, 'Template' in LABELS(c0) as template"
34,Profession: Computer Engineering and Information Technology - > Software Design/Development,"MATCH (a0:Template)<--(b)-->(c0)
WHERE a0.VALUE='Profession: Computer Engineering and Information Technology - > Software Design/Development' AND a0.PATH='/HTML/BODY/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/BLOCKQUOTE/P/text()' AND a0.POSITION='30' 
AND b.VALUE='P' 
AND c0.NODE_TYPE='3' AND c0.POSITION='1' 
 RETURN c0.VALUE AS VALUE, c0.URL AS URL, 'Template' in LABELS(c0) as template"
35,Profession: Computer Engineering and Information Technology - > Software Design/Development,"MATCH (a0:Template)<--(b)-->(c0)
WHERE a0.VALUE='Profession: Computer Engineering and Information Technology - > Software Design/Development' AND a0.PATH='/HTML/BODY/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/BLOCKQUOTE/P/text()' AND a0.POSITION='54' 
AND b.VALUE='P' 
AND c0.NODE_TYPE='3' AND c0.POSITION='21' 
 RETURN c0.VALUE AS VALUE, c0.URL AS URL, 'Template' in LABELS(c0) as template"
36,No,"MATCH (a1:Template)<--(a0)<--(b)-->(c0)-->(c1)-->(c2)
WHERE a1.VALUE='No' AND a1.PATH='/HTML/BODY/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/UL/LI/text()' AND a1.POSITION='1' 
AND a0.VALUE='LI' AND a0.POSITION='5' 
AND b.VALUE='UL' 
AND c0.VALUE='LI' AND c0.POSITION='9' 
AND c1.VALUE='EM' AND c1.POSITION='1' 
AND c2.NODE_TYPE='3' AND c2.POSITION='1' 
 RETURN c2.VALUE AS VALUE, c2.URL AS URL, 'Template' in LABELS(c2) as template"
37,Profession: Computer Engineering and Information Technology - > Software Design/Development,"MATCH (a0:Template)<--(b)-->(c0)
WHERE a0.VALUE='Profession: Computer Engineering and Information Technology - > Software Design/Development' AND a0.PATH='/HTML/BODY/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/BLOCKQUOTE/P/text()' AND a0.POSITION='31' 
AND b.VALUE='P' 
AND c0.NODE_TYPE='3' AND c0.POSITION='36' 
 RETURN c0.VALUE AS VALUE, c0.URL AS URL, 'Template' in LABELS(c0) as template"
38,Desired Attributes,"MATCH (a0:Template)<--(b)-->(c0)
WHERE a0.VALUE='Desired Attributes' AND a0.PATH='/HTML/BODY/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/BLOCKQUOTE/P/text()' AND a0.POSITION='9' 
AND b.VALUE='P' 
AND c0.NODE_TYPE='3' AND c0.POSITION='14' 
 RETURN c0.VALUE AS VALUE, c0.URL AS URL, 'Template' in LABELS(c0) as template"
39,Desired Attributes,"MATCH (a0:Template)<--(b)-->(c0)
WHERE a0.VALUE='Desired Attributes' AND a0.PATH='/HTML/BODY/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/BLOCKQUOTE/P/text()' AND a0.POSITION='19' 
AND b.VALUE='P' 
AND c0.NODE_TYPE='3' AND c0.POSITION='11' 
 RETURN c0.VALUE AS VALUE, c0.URL AS URL, 'Template' in LABELS(c0) as template"
40,Profession: Computer Engineering and Information Technology - > Software Design/Development,"MATCH (a0:Template)<--(b)-->(c0)
WHERE a0.VALUE='Profession: Computer Engineering and Information Technology - > Software Design/Development' AND a0.PATH='/HTML/BODY/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/BLOCKQUOTE/P/text()' AND a0.POSITION='19' 
AND b.VALUE='P' 
AND c0.NODE_TYPE='3' AND c0.POSITION='13' 
 RETURN c0.VALUE AS VALUE, c0.URL AS URL, 'Template' in LABELS(c0) as template"
41,Desired Attributes,"MATCH (a0:Template)<--(b)-->(c0)
WHERE a0.VALUE='Desired Attributes' AND a0.PATH='/HTML/BODY/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/BLOCKQUOTE/P/text()' AND a0.POSITION='42' 
AND b.VALUE='P' 
AND c0.NODE_TYPE='3' AND c0.POSITION='2' 
 RETURN c0.VALUE AS VALUE, c0.URL AS URL, 'Template' in LABELS(c0) as template"
42,Desired Attributes,"MATCH (a0:Template)<--(b)-->(c0)
WHERE a0.VALUE='Desired Attributes' AND a0.PATH='/HTML/BODY/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/BLOCKQUOTE/P/text()' AND a0.POSITION='31' 
AND b.VALUE='P' 
AND c0.NODE_TYPE='3' AND c0.POSITION='40' 
 RETURN c0.VALUE AS VALUE, c0.URL AS URL, 'Template' in LABELS(c0) as template"
43,Desired Attributes,"MATCH (a0:Template)<--(b)-->(c0)
WHERE a0.VALUE='Desired Attributes' AND a0.PATH='/HTML/BODY/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/BLOCKQUOTE/P/text()' AND a0.POSITION='25' 
AND b.VALUE='P' 
AND c0.NODE_TYPE='3' AND c0.POSITION='19' 
 RETURN c0.VALUE AS VALUE, c0.URL AS URL, 'Template' in LABELS(c0) as template"
44,Desired Attributes,"MATCH (a0:Template)<--(b)-->(c0)
WHERE a0.VALUE='Desired Attributes' AND a0.PATH='/HTML/BODY/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/BLOCKQUOTE/P/text()' AND a0.POSITION='23' 
AND b.VALUE='P' 
AND c0.NODE_TYPE='3' AND c0.POSITION='36' 
 RETURN c0.VALUE AS VALUE, c0.URL AS URL, 'Template' in LABELS(c0) as template"
45,Profession: Computer Engineering and Information Technology - > Software Design/Development,"MATCH (a0:Template)<--(b)-->(c0)
WHERE a0.VALUE='Profession: Computer Engineering and Information Technology - > Software Design/Development' AND a0.PATH='/HTML/BODY/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/BLOCKQUOTE/P/text()' AND a0.POSITION='44' 
AND b.VALUE='P' 
AND c0.NODE_TYPE='3' AND c0.POSITION='26' 
 RETURN c0.VALUE AS VALUE, c0.URL AS URL, 'Template' in LABELS(c0) as template"
46,Profession: Computer Engineering and Information Technology - > Software Design/Development,"MATCH (a0:Template)<--(b)-->(c0)
WHERE a0.VALUE='Profession: Computer Engineering and Information Technology - > Software Design/Development' AND a0.PATH='/HTML/BODY/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/BLOCKQUOTE/P/text()' AND a0.POSITION='17' 
AND b.VALUE='P' 
AND c0.NODE_TYPE='3' AND c0.POSITION='7' 
 RETURN c0.VALUE AS VALUE, c0.URL AS URL, 'Template' in LABELS(c0) as template"
47,Profession: Computer Engineering and Information Technology - > Software Design/Development,"MATCH (a0:Template)<--(b)-->(c0)
WHERE a0.VALUE='Profession: Computer Engineering and Information Technology - > Software Design/Development' AND a0.PATH='/HTML/BODY/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/BLOCKQUOTE/P/text()' AND a0.POSITION='20' 
AND b.VALUE='P' 
AND c0.NODE_TYPE='3' AND c0.POSITION='1' 
 RETURN c0.VALUE AS VALUE, c0.URL AS URL, 'Template' in LABELS(c0) as template"
48,Desired Attributes,"MATCH (a0:Template)<--(b)-->(c0)
WHERE a0.VALUE='Desired Attributes' AND a0.PATH='/HTML/BODY/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/BLOCKQUOTE/P/text()' AND a0.POSITION='12' 
AND b.VALUE='P' 
AND c0.NODE_TYPE='3' AND c0.POSITION='8' 
 RETURN c0.VALUE AS VALUE, c0.URL AS URL, 'Template' in LABELS(c0) as template"
49,Desired Attributes,"MATCH (a0:Template)<--(b)-->(c0)
WHERE a0.VALUE='Desired Attributes' AND a0.PATH='/HTML/BODY/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/BLOCKQUOTE/P/text()' AND a0.POSITION='30' 
AND b.VALUE='P' 
AND c0.NODE_TYPE='3' AND c0.POSITION='29' 
 RETURN c0.VALUE AS VALUE, c0.URL AS URL, 'Template' in LABELS(c0) as template"
50,Desired Attributes,"MATCH (a0:Template)<--(b)-->(c0)
WHERE a0.VALUE='Desired Attributes' AND a0.PATH='/HTML/BODY/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/BLOCKQUOTE/P/text()' AND a0.POSITION='61' 
AND b.VALUE='P' 
AND c0.NODE_TYPE='3' AND c0.POSITION='39' 
 RETURN c0.VALUE AS VALUE, c0.URL AS URL, 'Template' in LABELS(c0) as template"
51,Desired Attributes,"MATCH (a0:Template)<--(b)-->(c0)
WHERE a0.VALUE='Desired Attributes' AND a0.PATH='/HTML/BODY/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/BLOCKQUOTE/P/text()' AND a0.POSITION='38' 
AND b.VALUE='P' 
AND c0.NODE_TYPE='3' AND c0.POSITION='8' 
 RETURN c0.VALUE AS VALUE, c0.URL AS URL, 'Template' in LABELS(c0) as template"
52,Desired Attributes,"MATCH (a0:Template)<--(b)-->(c0)
WHERE a0.VALUE='Desired Attributes' AND a0.PATH='/HTML/BODY/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/BLOCKQUOTE/P/text()' AND a0.POSITION='18' 
AND b.VALUE='P' 
AND c0.NODE_TYPE='3' AND c0.POSITION='25' 
 RETURN c0.VALUE AS VALUE, c0.URL AS URL, 'Template' in LABELS(c0) as template"
53,Profession: Computer Engineering and Information Technology - > Software Design/Development,"MATCH (a0:Template)<--(b)-->(c0)
WHERE a0.VALUE='Profession: Computer Engineering and Information Technology - > Software Design/Development' AND a0.PATH='/HTML/BODY/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/BLOCKQUOTE/P/text()' AND a0.POSITION='28' 
AND b.VALUE='P' 
AND c0.NODE_TYPE='3' AND c0.POSITION='14' 
 RETURN c0.VALUE AS VALUE, c0.URL AS URL, 'Template' in LABELS(c0) as template"
54,Desired Attributes,"MATCH (a0:Template)<--(b)-->(c0)
WHERE a0.VALUE='Desired Attributes' AND a0.PATH='/HTML/BODY/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/DIV/BLOCKQUOTE/P/text()' AND a0.POSITION='34' 
AND b.VALUE='P' 
AND c0.NODE_TYPE='3' AND c0.POSITION='6' 
 RETURN c0.VALUE AS VALUE, c0.URL AS URL, 'Template' in LABELS(c0) as template"
