URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/auto/auto-motortrend/0160.htm","Power(SAE): 300 hp @ 5,500 rpm; 295 ft lb of torque @ 2,000 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0396.htm","Power(SAE): 265 hp @ 6,000 rpm; 244 ft lb of torque @ 4,000 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/1180.htm","Power(SAE): 552 hp @ 6,100 rpm; 479 ft lb of torque @ 1,600 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0159.htm","Power(SAE): 300 hp @ 5,500 rpm; 295 ft lb of torque @ 2,000 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0968.htm","Power(SAE): 227 hp @ 5,000 rpm; 236 ft lb of torque @ 1,500 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0398.htm","Power(SAE): 265 hp @ 6,000 rpm; 244 ft lb of torque @ 4,000 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0976.htm","Power(SAE): 250 hp @ 5,500 rpm; 295 ft lb of torque @ 1,800 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0399.htm","Power(SAE): 265 hp @ 6,000 rpm; 244 ft lb of torque @ 4,000 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/1181.htm","Power(SAE): 600 hp @ 6,000 rpm; 553 ft lb of torque @ 1,700 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0358.htm","Power(SAE): 257 hp @ 8,000 rpm; 174 ft lb of torque @ 6,000 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0386.htm","Power(SAE): 224 hp @ 5,200 rpm; 226 ft lb of torque @ 2,800 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0992.htm","Power(SAE): 300 hp @ 5,600 rpm; 325 ft lb of torque @ 1,500 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/1178.htm","Power(SAE): 500 hp @ 4,200 rpm; 738 ft lb of torque @ 3,200 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/1021.htm","Power(SAE): 237 hp @ 6,000 rpm; 253 ft lb of torque @ 2,500 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0388.htm","Power(SAE): 224 hp @ 5,200 rpm; 226 ft lb of torque @ 2,800 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0397.htm","Power(SAE): 265 hp @ 6,000 rpm; 244 ft lb of torque @ 4,000 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0828.htm","Power(SAE): 536 hp @ 5,500 rpm; 490 ft lb of torque @ 2,000 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0356.htm","Power(SAE): 218 hp @ 8,000 rpm; 156 ft lb of torque @ 5,000 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0973.htm","Power(SAE): 227 hp @ 5,000 rpm; 236 ft lb of torque @ 1,500 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/1143.htm","Power(SAE): 485 hp @ 6,400 rpm; 434 ft lb of torque @ 3,200 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0185.htm","Power(SAE): 138 hp @ 4,900 rpm; 148 ft lb of torque @ 1,850 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0471.htm","Power(SAE): 604 hp @ 4,800 rpm; 738 ft lb of torque @ 2,000 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0858.htm","Power(SAE): 500 hp @ 6,100 rpm; 516 ft lb of torque @ 2,750 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0402.htm","Power(SAE): 305 hp @ 6,000 rpm; 290 ft lb of torque @ 4,000 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0183.htm","Power(SAE): 638 hp @ 6,500 rpm; 604 ft lb of torque @ 3,800 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0830.htm","Power(SAE): 521 hp @ 4,800 rpm; 738 ft lb of torque @ 2,000 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0971.htm","Power(SAE): 227 hp @ 5,000 rpm; 236 ft lb of torque @ 1,500 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/1032.htm","Power(SAE): 237 hp @ 6,000 rpm; 253 ft lb of torque @ 2,500 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/1188.htm","Power(SAE): 210 hp @ 6,000 rpm; 223 ft lb of torque @ 2,000 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/1189.htm","Power(SAE): 210 hp @ 6,000 rpm; 223 ft lb of torque @ 2,000 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0972.htm","Power(SAE): 227 hp @ 5,000 rpm; 236 ft lb of torque @ 1,500 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0394.htm","Power(SAE): 265 hp @ 6,000 rpm; 244 ft lb of torque @ 4,000 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0837.htm","Power(SAE): 240 hp @ 6,000 rpm; 260 ft lb of torque @ 4,500 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0395.htm","Power(SAE): 265 hp @ 6,000 rpm; 244 ft lb of torque @ 4,000 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0835.htm","Power(SAE): 240 hp @ 6,000 rpm; 260 ft lb of torque @ 4,500 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0357.htm","Power(SAE): 240 hp @ 8,000 rpm; 170 ft lb of torque @ 5,500 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0106.htm","Power(SAE): 556 hp @ 6,100 rpm; 551 ft lb of torque @ 3,800 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0401.htm","Power(SAE): 305 hp @ 6,000 rpm; 290 ft lb of torque @ 4,000 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0983.htm","Power(SAE): 227 hp @ 5,000 rpm; 236 ft lb of torque @ 1,500 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0838.htm","Power(SAE): 240 hp @ 6,000 rpm; 260 ft lb of torque @ 4,500 rpm"
"/media/Dados/bases/SWDE/auto/auto-motortrend/0186.htm","Power(SAE): 138 hp @ 4,900 rpm; 148 ft lb of torque @ 1,850 rpm"
