URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/job/job-hotjobs/0982.htm","Canoga Park, CA; Northridge, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1282.htm","Palo Alto, CA; Los Angeles, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1759.htm","Westlake Village, CA; Van Nuys, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1294.htm","Santa Monica, CA; Brentwood, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/0994.htm","Chicago, IL; Schaumburg, IL"
"/media/Dados/bases/SWDE/job/job-hotjobs/1119.htm","Austin, TX; Pflugerville, TX"
"/media/Dados/bases/SWDE/job/job-hotjobs/1068.htm","Pittsburgh, PA; Canonsburg, PA"
"/media/Dados/bases/SWDE/job/job-hotjobs/0887.htm","Newport Beach, CA; Costa Mesa, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/0912.htm","Fruitvale, CO; Grand Junction, CO"
"/media/Dados/bases/SWDE/job/job-hotjobs/1901.htm","Boston, MA; Manchester, NH"
"/media/Dados/bases/SWDE/job/job-hotjobs/1586.htm","New York City, NY; Newark, NJ"
"/media/Dados/bases/SWDE/job/job-hotjobs/1114.htm","Boston, MA; Cambridge, MA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1701.htm","Newark , NJ; Hoboken, NJ"
"/media/Dados/bases/SWDE/job/job-hotjobs/1073.htm","Palo Alto, CA; San Mateo, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/0889.htm","Los Angeles, CA; Sherman Oaks, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1475.htm","West Palm Beach, FL; Palm Beach Gardens, FL"
"/media/Dados/bases/SWDE/job/job-hotjobs/1190.htm","Las Vegas, NV; Los Angeles, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1773.htm","New York, NY; Manhattan, NY"
"/media/Dados/bases/SWDE/job/job-hotjobs/1822.htm","Mountain View, CA; Sunnyvale, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1630.htm","San Francisco, CA; South San Francisco, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/0885.htm","Boston , MA; Somerville, MA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1156.htm","Denver, CO; Littleton, CO"
"/media/Dados/bases/SWDE/job/job-hotjobs/1194.htm","Denver, CO; Boulder, CO"
"/media/Dados/bases/SWDE/job/job-hotjobs/1677.htm","Los Angeles, CA; San Jose, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1775.htm","Mission Viejo , CA; Irvine, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1032.htm","Belle Haven, VA; Washington, DC"
"/media/Dados/bases/SWDE/job/job-hotjobs/1736.htm","Totowa, NJ; Paterson, NJ"
"/media/Dados/bases/SWDE/job/job-hotjobs/0920.htm","Campbell, CA; Santa Clara, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1189.htm","Vienna, VA; McLean, VA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1744.htm","Detroit, MI; Lansing, MI"
"/media/Dados/bases/SWDE/job/job-hotjobs/1562.htm","New York, NY; Boston, MA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1182.htm","Mission Viejo, CA; Irvine, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1372.htm","Aliso Viejo, CA; Irvine, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1251.htm","Minneapolis, MN; Saint Paul, MN"
"/media/Dados/bases/SWDE/job/job-hotjobs/0898.htm","Austin, TX; San Antonio, TX"
"/media/Dados/bases/SWDE/job/job-hotjobs/1720.htm","Tampa, FL; Clearwater, FL"
"/media/Dados/bases/SWDE/job/job-hotjobs/1395.htm","Irvine, CA; Newport Beach, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1277.htm","Milton, DE; Dover, DE"
"/media/Dados/bases/SWDE/job/job-hotjobs/1351.htm","Kansas City, MO; Overland Park, KS"
"/media/Dados/bases/SWDE/job/job-hotjobs/1050.htm","Anaheim, CA; Irvine, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1250.htm","Hollywood, CA; Los Angeles, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1112.htm","Fort Meade, MD; Columbia, MD"
"/media/Dados/bases/SWDE/job/job-hotjobs/1510.htm","Arlington, VA; Vienna, VA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1148.htm","San Mateo, CA; Redwood City, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1556.htm","Boston, MA; Lawrence, MA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1196.htm","Taunton, MA; Middleboro, MA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1325.htm","San Jose, CA; Sunnyvale, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1097.htm","Arlington, VA; Falls Church, VA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1479.htm","Culver City, CA; Los Angeles, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1612.htm","Longmont, CO; Loveland, CO"
"/media/Dados/bases/SWDE/job/job-hotjobs/1731.htm","Boston, MA; Woburn, MA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1788.htm","Newport Beach, CA; Santa Ana, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1796.htm","West Los Angeles, CA; Culver City, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/0961.htm","Richland, WA; Seattle, WA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1327.htm","Los Angeles, CA; Santa Monica, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1268.htm","Oxnard, CA; Thousand Oaks, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1008.htm","Phoenix, AZ; Tempe, AZ"
"/media/Dados/bases/SWDE/job/job-hotjobs/1521.htm","Reston, VA; Washington, DC"
"/media/Dados/bases/SWDE/job/job-hotjobs/1048.htm","Marlborough, MA; Westborough, MA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1404.htm","Campbell, CA; Los Gatos, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1809.htm","North Haven, CT; New Haven, CT"
"/media/Dados/bases/SWDE/job/job-hotjobs/1480.htm","Santa Clara, CA; San Jose, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1274.htm","San Jose, CA; Oakland, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1259.htm","Buffalo, NY; Hamburg, NY"
"/media/Dados/bases/SWDE/job/job-hotjobs/1079.htm","San Jose, CA; Sunnyvale, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/0934.htm","Fargo, ND; West Fargo, ND"
"/media/Dados/bases/SWDE/job/job-hotjobs/1835.htm","Denver, CO; Charleston, SC"
"/media/Dados/bases/SWDE/job/job-hotjobs/1049.htm","Cambridge, MA; Somerville, MA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1669.htm","Tarzana, CA; Reseda, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/0972.htm","San Francisco, CA; Daly City, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1264.htm","Chicago, IL; Saint Louis, MO"
"/media/Dados/bases/SWDE/job/job-hotjobs/1445.htm","Jackson, MS; Hattiesburg, MS"
"/media/Dados/bases/SWDE/job/job-hotjobs/1814.htm","New York, NY; Manhattan, NY"
"/media/Dados/bases/SWDE/job/job-hotjobs/1076.htm","Miami, FL; Orlando, FL"
"/media/Dados/bases/SWDE/job/job-hotjobs/1071.htm","Livermore, CA; Seattle, WA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1410.htm","New York City, NY; Manhattan, NY"
"/media/Dados/bases/SWDE/job/job-hotjobs/1512.htm","Hollywood, CA; Los Angeles, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1883.htm","Long Beach , CA; Gardena, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1488.htm","Seattle, WA; Bellevue, WA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1886.htm","Pittsburgh, PA; Canonsburg, PA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1300.htm","San Jose, CA; Santa Clara, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1550.htm","Norwalk, CT; Stamford, CT"
"/media/Dados/bases/SWDE/job/job-hotjobs/1708.htm","Vernon, CT; Manchester, CT"
"/media/Dados/bases/SWDE/job/job-hotjobs/1042.htm","Santa Ana, CA; Irvine, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1849.htm","Irvine, CA; Anaheim, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1761.htm","North Hollywood, CA; Toluca Lake, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1040.htm","Campbell, CA; Santa Clara, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1093.htm","New york, NY; Washington, DC"
"/media/Dados/bases/SWDE/job/job-hotjobs/1247.htm","Reston, VA; McLean, VA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1683.htm","Tampa, FL; Brandon, TX"
"/media/Dados/bases/SWDE/job/job-hotjobs/1600.htm","Bethesda, MD; Washington, DC"
"/media/Dados/bases/SWDE/job/job-hotjobs/1121.htm","New York City, NY; San Francisco, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1130.htm","Los Angeles, CA; New York City, NY"
"/media/Dados/bases/SWDE/job/job-hotjobs/1826.htm","Los Angeles, CA; Beverly Hills, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1037.htm","Sunnyvale, CA; Mountain View, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1637.htm","Spring, TX; Conroe, TX"
"/media/Dados/bases/SWDE/job/job-hotjobs/1442.htm","Agoura Hills, CA; Sherman Oaks, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1794.htm","Raleigh, NC; Durham, NC"
"/media/Dados/bases/SWDE/job/job-hotjobs/1207.htm","San Mateo, CA; Burlingame, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1471.htm","Clearwater, FL; Tampa, FL"
"/media/Dados/bases/SWDE/job/job-hotjobs/1894.htm","Escondido, CA; Poway, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1344.htm","Akron, OH; Garfield Heights, OH"
"/media/Dados/bases/SWDE/job/job-hotjobs/1369.htm","Chandler, AZ; Albuquerque, NM"
"/media/Dados/bases/SWDE/job/job-hotjobs/1341.htm","Pasadena, CA; Los Angeles, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1700.htm","Pawtucket, RI; Lincoln, RI"
"/media/Dados/bases/SWDE/job/job-hotjobs/1027.htm","New York City, NY; San Francisco, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1100.htm","New York City, NY; Manhattan, NY"
"/media/Dados/bases/SWDE/job/job-hotjobs/1287.htm","Tampa, FL; Clearwater, FL"
"/media/Dados/bases/SWDE/job/job-hotjobs/1346.htm","San Francisco, CA; Seattle, WA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1436.htm","Manhattan, NY; New York City, NY"
"/media/Dados/bases/SWDE/job/job-hotjobs/1457.htm","Manhattan, NY; New York, NY"
"/media/Dados/bases/SWDE/job/job-hotjobs/0998.htm","New York, NY; Manhattan, NY"
"/media/Dados/bases/SWDE/job/job-hotjobs/1495.htm","Blytheville, AR; Memphis, TN"
"/media/Dados/bases/SWDE/job/job-hotjobs/1265.htm","San Francisco, CA; Berkeley, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/0980.htm","Saint Louis, MO; Ballwin, MO"
"/media/Dados/bases/SWDE/job/job-hotjobs/1331.htm","Irvine, CA; Santa Ana, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1087.htm","Bellevue, PA; Wilkinsburg, PA"
"/media/Dados/bases/SWDE/job/job-hotjobs/0959.htm","San Jose, CA; Los Gatos, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1140.htm","Kansas City, MO; Independence, MO"
"/media/Dados/bases/SWDE/job/job-hotjobs/1237.htm","Nashville, TN; Knoxville, TN"
"/media/Dados/bases/SWDE/job/job-hotjobs/1353.htm","Cambridge, MA; Boston, MA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1235.htm","Redwood City, CA; San Francisco, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1760.htm","McLean, VA; Arlington, VA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1841.htm","Baltimore, MD; Vienna, VA"
"/media/Dados/bases/SWDE/job/job-hotjobs/0995.htm","Asheville, NC; Johnson City, TN"
"/media/Dados/bases/SWDE/job/job-hotjobs/1553.htm","Santa Clara, CA; San Jose, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1347.htm","New York City, NY; Manhattan, NY"
"/media/Dados/bases/SWDE/job/job-hotjobs/0981.htm","Culver City, CA; Inglewood, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1002.htm","Dayton, OH; Cincinnati, OH"
"/media/Dados/bases/SWDE/job/job-hotjobs/1832.htm","Boston, MA; Chelsea, MA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1328.htm","Santa Monica, CA; Brentwood, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1055.htm","Bloomington, MN; Eden Prairie, MN"
"/media/Dados/bases/SWDE/job/job-hotjobs/1271.htm","San Antonio, TX; Alamo Heights, TX"
"/media/Dados/bases/SWDE/job/job-hotjobs/1847.htm","Austin, TX; Clovis, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/0963.htm","Santa Barbara, CA; Goleta, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1777.htm","Scotts Valley, CA; Boulder Creek, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1691.htm","Columbia, MD; Laurel, MD"
"/media/Dados/bases/SWDE/job/job-hotjobs/1596.htm","West Hollywood, CA; Marina del Rey, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1844.htm","Santa Clara, CA; Sunnyvale, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1230.htm","San Francisco, CA; Sacramento, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1408.htm","Manhattan, NY; Brooklyn, NY"
"/media/Dados/bases/SWDE/job/job-hotjobs/1150.htm","Seattle, WA; Bellevue, WA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1694.htm","huntsville, AL; Birmingham, AL"
"/media/Dados/bases/SWDE/job/job-hotjobs/1614.htm","San Juan Capistrano, CA; Laguna Niguel, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1538.htm","Phoenix, AZ; Scottsdale, AZ"
"/media/Dados/bases/SWDE/job/job-hotjobs/1573.htm","Boston, MA; Burlington, MA"
"/media/Dados/bases/SWDE/job/job-hotjobs/0921.htm","Phoenix, AZ; Scottsdale, AZ"
"/media/Dados/bases/SWDE/job/job-hotjobs/1825.htm","Hackensack, NJ; Englewood, NJ"
"/media/Dados/bases/SWDE/job/job-hotjobs/1565.htm","Santa Monica, CA; Culver City, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1386.htm","Boston, MA; Cambridge, MA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1575.htm","Santa Monica, CA; Culver City, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1038.htm","Irvine, CA; Newport Beach, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1145.htm","Glendale, CA; Burbank, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1509.htm","Jackson, MS; Madison, MS"
"/media/Dados/bases/SWDE/job/job-hotjobs/1257.htm","San Francisco, CA; Oakland, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1511.htm","Seattle, WA; Cupertino, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1746.htm","Fitchburg, MA; Leominster, MA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1733.htm","Palo Alto, CA; San Jose, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1377.htm","Ann Arbor, MI; Livonia, MI"
"/media/Dados/bases/SWDE/job/job-hotjobs/0904.htm","Los Angeles, CA; Pasadena, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1751.htm","Cambridge, MA; Boston, MA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1611.htm","Irvine, CA; Laguna Hills, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1531.htm","Chantilly, VA; Reston, VA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1308.htm","Tustin, CA; Costa Mesa, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1029.htm","Fort Meade, MD; Bowie, MD"
"/media/Dados/bases/SWDE/job/job-hotjobs/1239.htm","New York, NY; Manhattan, NY"
"/media/Dados/bases/SWDE/job/job-hotjobs/1280.htm","Seattle, WA; Redmond, WA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1147.htm","San Francisco, CA; Oakland, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1504.htm","New York, NY; Manhattan, NY"
"/media/Dados/bases/SWDE/job/job-hotjobs/1141.htm","Los Angeles, CA; Culver City, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1273.htm","Alpharetta, GA; Roswell, GA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1758.htm","Boston, MA; Atlanta, GA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1278.htm","Akron, OH; Garfield Heights, OH"
"/media/Dados/bases/SWDE/job/job-hotjobs/1525.htm","San Diego, CA; Irvine, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1170.htm","Cincinnati, OH; Covington, OH"
"/media/Dados/bases/SWDE/job/job-hotjobs/1122.htm","Bethesda, MD; McLean, VA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1051.htm","Sunnyvale, CA; San Jose, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1367.htm","Waltham, MA; Lexington, MA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1875.htm","Loveland, CO; Fort Collins, CO"
"/media/Dados/bases/SWDE/job/job-hotjobs/1399.htm","Westvale, NY; Utica, NY"
"/media/Dados/bases/SWDE/job/job-hotjobs/1082.htm","Pleasanton, CA; San Francisco, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1284.htm","Arlington, VA; Washington, DC"
"/media/Dados/bases/SWDE/job/job-hotjobs/1742.htm","Kirkland, WA; Portland, OR"
"/media/Dados/bases/SWDE/job/job-hotjobs/1589.htm","San Francisco, CA; South San Francisco, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1334.htm","Los Angeles, CA; Santa Monica, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/0907.htm","Garner, NC; Raleigh, NC"
"/media/Dados/bases/SWDE/job/job-hotjobs/1551.htm","Fort Meade, MD; Columbia, MD"
"/media/Dados/bases/SWDE/job/job-hotjobs/1275.htm","Pasadena, CA; Burbank, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1560.htm","Boston , MA; Cambridge, MA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1465.htm","San Jose, CA; Sunnyvale, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1454.htm","Boston, MA; Newton, MA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1880.htm","San Jose, CA; Austin, TX"
"/media/Dados/bases/SWDE/job/job-hotjobs/1787.htm","Palo Alto, CA; South San Francisco, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1780.htm","New York City, NY; Manhattan, NY"
"/media/Dados/bases/SWDE/job/job-hotjobs/1129.htm","San Jose, CA; San Francisco, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1407.htm","San Francisco, CA; Oakland, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1693.htm","Laurel, MD; Fort Meade, MD"
"/media/Dados/bases/SWDE/job/job-hotjobs/1547.htm","Boston, MA; Charlotte, NC"
"/media/Dados/bases/SWDE/job/job-hotjobs/1139.htm","Bellevue, WA; Seattle, WA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1453.htm","Annapolis Junction, MD; Reston, VA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1497.htm","Campbell, CA; Cupertino, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1893.htm","Costa Mesa, CA; Tustin, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1842.htm","New York City, NY; Manhattan, NY"
"/media/Dados/bases/SWDE/job/job-hotjobs/1633.htm","Boston, MA; Cambridge, MA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1672.htm","Dallas, TX; Houston, TX"
"/media/Dados/bases/SWDE/job/job-hotjobs/1365.htm","Dallas, TX; Kansas City, MO"
"/media/Dados/bases/SWDE/job/job-hotjobs/1890.htm","Marlborough, MA; Westborough, MA"
"/media/Dados/bases/SWDE/job/job-hotjobs/0915.htm","San Jose, CA; Fremont, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1583.htm","Las Vegas, NV; Los Angeles, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1609.htm","New York, NY; New York City, NY"
"/media/Dados/bases/SWDE/job/job-hotjobs/1675.htm","Cambridge, MA; Boston, MA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1206.htm","West Los Angeles, CA; Beverly Hills, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1092.htm","Burlington, MA; Boston, MA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1446.htm","Pasadena, CA; Burbank, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1896.htm","Omaha, NE; Lincoln, NE"
"/media/Dados/bases/SWDE/job/job-hotjobs/1737.htm","Seattle, WA; Bellevue, WA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1030.htm","King of Prussia, PA; Philadelphia, PA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1899.htm","Dallas, TX; Irving, TX"
"/media/Dados/bases/SWDE/job/job-hotjobs/1126.htm","Reseda, CA; Sherman Oaks, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1031.htm","Boston, MA; Cambridge, MA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1541.htm","Los Angeles, CA; Van Nuys, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/0917.htm","San Jose, CA; Milpitas, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/0950.htm","Austin, TX; San Antonio, TX"
"/media/Dados/bases/SWDE/job/job-hotjobs/1836.htm","Reston, VA; McLean, VA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1444.htm","Royal Oak, MI; Troy, MI"
"/media/Dados/bases/SWDE/job/job-hotjobs/1272.htm","Lanham, MD; New Carrollton, MD"
"/media/Dados/bases/SWDE/job/job-hotjobs/1812.htm","Irvine, CA; Mission Viejo, CA"
"/media/Dados/bases/SWDE/job/job-hotjobs/1296.htm","Columbus, OH; Cincinnati, OH"
